NODE_10004_length_3863_cov_4.621849_2	NODE_10004_length_3863_cov_4.621849_2
NODE_10004_length_3863_cov_4.621849_2	NODE_21877_length_2671_cov_2.512615_2
NODE_10004_length_3863_cov_4.621849_3	NODE_10004_length_3863_cov_4.621849_3
NODE_10004_length_3863_cov_4.621849_4	NODE_10004_length_3863_cov_4.621849_4
NODE_10004_length_3863_cov_4.621849_5	NODE_10004_length_3863_cov_4.621849_5
NODE_10004_length_3863_cov_4.621849_6	NODE_10004_length_3863_cov_4.621849_6
NODE_1000_length_36163_cov_7.020577_1	NODE_1000_length_36163_cov_7.020577_1
NODE_1000_length_36163_cov_7.020577_1	NODE_1786_length_37117_cov_7.985484_25
NODE_1000_length_36163_cov_7.020577_1	NODE_348_length_127810_cov_8.831537_117
NODE_1000_length_36163_cov_7.020577_1	NODE_4179_length_19367_cov_47.148560_21
NODE_1000_length_36163_cov_7.020577_3	NODE_1000_length_36163_cov_7.020577_3
NODE_1000_length_36163_cov_7.020577_3	NODE_2449_length_19923_cov_18.603080_19
NODE_1000_length_36163_cov_7.020577_3	NODE_3107_length_16235_cov_4.766378_18
NODE_1000_length_36163_cov_7.020577_3	NODE_3393_length_16837_cov_28.131629_2
NODE_1000_length_36163_cov_7.020577_3	NODE_361_length_103110_cov_10.005589_24
NODE_1000_length_36163_cov_7.020577_4	NODE_1000_length_36163_cov_7.020577_4
NODE_1000_length_36163_cov_7.020577_5	NODE_1000_length_36163_cov_7.020577_5
NODE_1000_length_36163_cov_7.020577_6	NODE_1000_length_36163_cov_7.020577_6
NODE_1000_length_36163_cov_7.020577_7	NODE_1000_length_36163_cov_7.020577_7
NODE_1000_length_36163_cov_7.020577_7	NODE_234_length_103152_cov_8.326159_1
NODE_1000_length_36163_cov_7.020577_8	NODE_1000_length_36163_cov_7.020577_8
NODE_1000_length_36163_cov_7.020577_8	NODE_234_length_103152_cov_8.326159_2
NODE_1000_length_36163_cov_7.020577_8	NODE_348_length_43194_cov_5.002921_22
NODE_1000_length_36163_cov_7.020577_8	NODE_4533_length_21181_cov_7.106078_20
NODE_1000_length_36163_cov_7.020577_10	NODE_1000_length_36163_cov_7.020577_10
